time,close
09-28-15,96.034
09-29-15,95.855
09-30-15,96.35
10-01-15,96.185
10-02-15,95.83
10-05-15,96.106
10-06-15,95.455
10-07-15,95.497
10-08-15,95.318
10-09-15,94.813
10-12-15,94.841
10-13-15,94.759
10-14-15,93.931
10-15-15,94.371
10-16-15,94.54
10-19-15,94.928
10-20-15,94.913
10-21-15,95.035
10-22-15,96.378
10-23-15,97.127
10-26-15,96.861
10-27-15,96.906
10-28-15,97.782
10-29-15,97.282
10-30-15,96.946
11-02-15,96.928
11-03-15,97.158
11-04-15,97.95
11-05-15,97.936
11-06-15,99.168
11-09-15,98.979
11-10-15,99.293
11-11-15,99.013
11-12-15,98.649
11-13-15,98.998
11-16-15,99.442
11-17-15,99.631
11-18-15,99.652
11-19-15,98.989
11-20-15,99.565
11-23-15,99.803
11-24-15,99.527
11-25-15,99.795
11-27-15,100.02
11-30-15,100.17
12-01-15,99.795
12-02-15,99.993
12-03-15,97.621
12-04-15,98.354
12-07-15,98.655
12-08-15,98.474
12-09-15,97.345
12-10-15,97.939
12-11-15,97.565
12-14-15,97.604
12-15-15,98.217
12-16-15,97.871
12-17-15,99.27
12-18-15,98.703
12-21-15,98.363
12-22-15,98.235
12-23-15,98.341
12-24-15,97.984
12-28-15,97.919
12-29-15,98.101
12-30-15,98.266
12-31-15,98.631
01-04-16,98.869
01-05-16,99.404
01-06-16,99.181
01-07-16,98.219
01-08-16,98.54
01-11-16,98.725
01-12-16,98.974
01-13-16,98.933
01-14-16,99.089
01-15-16,98.956
01-19-16,98.991
01-20-16,99.091
01-21-16,99.056
01-22-16,99.574
01-25-16,99.36
01-26-16,99.36
01-27-16,98.902
01-28-16,98.51
01-29-16,99.606
02-01-16,99.009
02-02-16,98.872
02-03-16,97.288
02-04-16,96.474
02-05-16,97.031
02-08-16,96.57
02-09-16,96.071
02-10-16,95.888
02-11-16,95.562
02-12-16,95.94
02-16-16,96.868
02-17-16,96.786
02-18-16,96.951
02-19-16,96.6
02-22-16,97.379
02-23-16,97.481
02-24-16,97.458
02-25-16,97.287
02-26-16,98.148
02-29-16,98.211
03-01-16,98.352
03-02-16,98.214
03-03-16,97.592
03-04-16,97.34
03-07-16,97.071
03-08-16,97.209
03-09-16,97.173
03-10-16,96.066
03-11-16,96.172
03-14-16,96.624
03-15-16,96.633
03-16-16,95.89
03-17-16,94.76
03-18-16,95.086
03-21-16,95.288
03-22-16,95.648
03-23-16,96.046
03-24-16,96.142
03-28-16,95.943
03-29-16,95.16
03-30-16,94.841
03-31-16,94.586
04-01-16,94.619
04-04-16,94.51
04-05-16,94.631
04-06-16,94.43
04-07-16,94.482
04-08-16,94.235
04-11-16,93.95
04-12-16,93.959
04-13-16,94.744
04-14-16,94.902
04-15-16,94.696
04-18-16,94.49
04-19-16,93.976
04-20-16,94.492
04-21-16,94.599
04-22-16,95.116
04-25-16,94.842
04-26-16,94.573
04-27-16,94.387
04-28-16,93.761
04-29-16,93.082
05-02-16,92.626
05-03-16,92.944
05-04-16,93.179
05-05-16,93.78
05-06-16,93.888
05-09-16,94.128
05-10-16,94.29
05-11-16,93.823
05-12-16,94.15
05-13-16,94.608
05-16-16,94.572
05-17-16,94.548
05-18-16,95.08
05-19-16,95.287
05-20-16,95.334
05-23-16,95.231
05-24-16,95.571
05-25-16,95.354
05-26-16,95.168
05-27-16,95.521
05-31-16,95.891
06-01-16,95.455
06-02-16,95.564
06-03-16,94.029
06-06-16,93.902
06-07-16,93.828
06-08-16,93.59
06-09-16,93.953
06-10-16,94.571
06-13-16,94.362
06-14-16,94.928
06-15-16,94.61
06-16-16,94.569
06-17-16,94.206
06-20-16,93.611
06-21-16,94.017
06-22-16,93.716
06-23-16,93.529
06-24-16,95.448
06-27-16,96.544
06-28-16,96.245
06-29-16,95.769
06-30-16,96.143
07-01-16,95.649
07-05-16,96.166
07-06-16,96.053
07-07-16,96.328
07-08-16,96.302
07-11-16,96.571
07-12-16,96.441
07-13-16,96.216
07-14-16,96.077
07-15-16,96.58
07-18-16,96.562
07-19-16,97.063
07-20-16,97.201
07-21-16,97
07-22-16,97.467
07-25-16,97.286
07-26-16,97.156
07-27-16,97.053
07-28-16,96.739
07-29-16,95.53
08-01-16,95.713
08-02-16,95.064
08-03-16,95.563
08-04-16,95.758
08-05-16,96.194
08-08-16,96.401
08-09-16,96.183
08-10-16,95.65
08-11-16,95.857
08-12-16,95.722
08-15-16,95.629
08-16-16,94.791
08-17-16,94.718
08-18-16,94.157
08-19-16,94.511
08-22-16,94.519
08-23-16,94.539
08-24-16,94.786
08-25-16,94.772
08-26-16,95.566
08-29-16,95.58
08-30-16,96.054
08-31-16,96.022
09-01-16,95.653
09-02-16,95.844
09-06-16,94.823
09-07-16,94.956
09-08-16,95.027
09-09-16,95.336
09-12-16,95.095
09-13-16,95.633
09-14-16,95.327
09-15-16,95.288
09-16-16,96.108
09-19-16,95.841
09-20-16,96.019
09-21-16,95.66
09-22-16,95.448
09-23-16,95.477
09-26-16,95.297
09-27-16,95.435
09-28-16,95.431
09-29-16,95.535
09-30-16,95.463
10-03-16,95.695
10-04-16,96.169
10-05-16,96.125
10-06-16,96.765
10-07-16,96.632
10-10-16,96.929
10-11-16,97.69
10-12-16,97.966
10-13-16,97.516
10-14-16,98.019
10-17-16,97.888
10-18-16,97.895
10-19-16,97.92
10-20-16,98.315
10-21-16,98.695
10-24-16,98.756
10-25-16,98.719
10-26-16,98.629
10-27-16,98.888
10-28-16,98.348
10-31-16,98.445
11-01-16,97.699
11-02-16,97.398
11-03-16,97.157
11-04-16,97.065
11-07-16,97.781
11-08-16,97.861
11-09-16,98.504
11-10-16,98.785
11-11-16,99.06
11-14-16,100.11
11-15-16,100.23
11-16-16,100.41
11-17-16,100.89
11-18-16,101.21
11-21-16,101.05
11-22-16,101.04
11-23-16,101.7
11-25-16,101.49
11-28-16,101.33
11-29-16,100.93
11-30-16,101.5
12-01-16,101.04
12-02-16,100.77
12-05-16,100.09
12-06-16,100.49
12-07-16,100.23
12-08-16,101.1
12-09-16,101.59
12-12-16,101.03
12-13-16,101.07
12-14-16,101.76
12-15-16,103.02
12-16-16,102.95
12-19-16,103.14
12-20-16,103.29
12-21-16,103.02
12-22-16,103.09
12-23-16,103.01
12-27-16,103.02
12-28-16,103.3
12-29-16,102.68
12-30-16,102.21
01-03-17,103.21
01-04-17,102.7
01-05-17,101.52
01-06-17,102.22
01-09-17,101.93
01-10-17,102.01
01-11-17,101.78
01-12-17,101.35
01-13-17,101.18
01-17-17,100.33
01-18-17,100.93
01-19-17,101.15
01-20-17,100.74
01-23-17,100.16
01-24-17,100.35
01-25-17,100.03
01-26-17,100.38
01-27-17,100.53
01-30-17,100.43
01-31-17,99.512
02-01-17,99.641
02-02-17,99.79
02-03-17,99.868
02-06-17,99.907
02-07-17,100.26
02-08-17,100.28
02-09-17,100.65
02-10-17,100.8
02-13-17,100.96
02-14-17,101.25
02-15-17,101.18
02-16-17,100.44
02-17-17,100.95
02-21-17,101.37
02-22-17,101.22
02-23-17,101.05
02-24-17,101.09
02-27-17,101.13
02-28-17,101.12
03-01-17,101.78
03-02-17,102.2
03-03-17,101.54
03-06-17,101.64
03-07-17,101.81
03-08-17,102.07
03-09-17,101.85
03-10-17,101.25
03-13-17,101.31
03-14-17,101.77
