time,usdjpy close,usejpy volume,eurusd close,eurusd volume
12/17/18 14:00,112.804,23561,1.13508,43520
12/17/18 18:00,112.833,15172,1.13482,18063
12/17/18 22:00,112.72,9770,1.13586,9660
12/18/18 2:00,112.593,12632,1.13449,11825
12/18/18 6:00,112.402,16159,1.1376,34424
12/18/18 10:00,112.421,16008,1.13794,37157
12/18/18 14:00,112.592,22719,1.13604,41797
12/18/18 18:00,112.522,16578,1.13637,26965
12/18/18 22:00,112.476,11975,1.13809,11707
12/19/18 2:00,112.356,10187,1.13876,12959
12/19/18 6:00,112.357,12162,1.1389,30507
12/19/18 10:00,112.336,11491,1.14013,32089
12/19/18 14:00,112.204,19630,1.14255,44805
12/19/18 18:00,112.482,37510,1.13776,69514
12/19/18 22:00,112.492,9575,1.13817,9595
12/20/18 2:00,112.08,16960,1.1389,15156
12/20/18 6:00,111.706,30584,1.1478,54926
12/20/18 10:00,111.614,27056,1.14456,46822
12/20/18 14:00,111.176,46024,1.14589,67338
12/20/18 18:00,111.288,30350,1.14454,38328
12/20/18 22:00,111.222,9634,1.14518,9428
12/21/18 2:00,111.446,13725,1.14464,11346
12/21/18 6:00,111.168,24431,1.14283,37807
12/21/18 10:00,111.16,25099,1.14108,47470
12/21/18 14:00,111.34,46273,1.1386,72591
12/21/18 18:00,111.219,18765,1.13714,23308
12/23/18 22:00,111.063,13170,1.13807,7476
12/24/18 2:00,111.116,8880,1.13908,9405
12/24/18 6:00,111.092,18571,1.13949,24320
12/24/18 10:00,110.647,20918,1.14143,27274
12/24/18 14:00,110.371,32323,1.14099,54224
12/24/18 18:00,110.454,7843,1.14059,7276
12/25/18 22:00,110.463,8180,1.14104,8673
12/26/18 2:00,110.445,7048,1.14029,6290
12/26/18 6:00,110.569,6856,1.13844,9372
12/26/18 10:00,110.517,6173,1.13892,12430
12/26/18 14:00,110.954,19282,1.13559,31345
12/26/18 18:00,111.367,11757,1.13526,25634
12/26/18 22:00,110.972,18556,1.13741,15517
12/27/18 2:00,111.202,17604,1.13828,20486
12/27/18 6:00,110.856,31548,1.13944,39252
12/27/18 10:00,110.722,35464,1.13978,53860
12/27/18 14:00,110.616,37363,1.14364,68627
12/27/18 18:00,110.982,22132,1.14309,37509
12/27/18 22:00,110.742,13087,1.14479,13827
12/28/18 2:00,110.65,12520,1.1455,16002
12/28/18 6:00,110.368,19874,1.14433,33234
12/28/18 10:00,110.358,24711,1.1461,43387
12/28/18 14:00,110.406,26237,1.14408,55604
12/28/18 18:00,110.284,13665,1.14439,25346
12/30/18 22:00,110.414,3998,1.14391,6933
12/31/18 2:00,110.386,4656,1.14287,7995
12/31/18 6:00,110.15,11718,1.14362,24248
12/31/18 10:00,110.025,17276,1.14464,28383
12/31/18 14:00,109.658,19270,1.14514,48406
12/31/18 18:00,109.59,4788,1.14657,11685
1/1/19 22:00,109.599,6593,1.14526,8414
1/2/19 2:00,109.303,10520,1.14784,12148
1/2/19 6:00,108.944,25957,1.14338,49576
1/2/19 10:00,109.192,26850,1.1372,47474
1/2/19 14:00,109.443,31337,1.13356,61660
1/2/19 18:00,108.884,16146,1.13442,24702
1/2/19 22:00,107.538,15850,1.13482,21799
1/3/19 2:00,106.97,9585,1.13608,16607
1/3/19 6:00,107.659,25571,1.13756,48755
1/3/19 10:00,107.748,18731,1.1366,44845
1/3/19 14:00,108.026,44320,1.13992,87072
1/3/19 18:00,107.662,19477,1.13948,30262
1/3/19 22:00,107.842,17309,1.14039,12203
1/4/19 2:00,108.256,14421,1.13902,11853
1/4/19 6:00,108.032,22285,1.14036,31324
1/4/19 10:00,108.302,20741,1.13718,41587
